file_name,title,url_count,word_count,char_count,estimated_section_count,has_korea_bridge_keyword,has_punchline_hint_keyword,risk_flags,source_density_per_1000_words
"""신붓감 찾습니다"", 급락하는 중국 혼인율.rtf","""신붓감 찾습니다"", 급락하는 중국 혼인율",8,182,1291,3,False,True,,43.96
"'야근한 만큼 돈 줘라', 포괄임금 오남용방지 지침 발표.rtf","'야근한 만큼 돈 줘라', 포괄임금 오남용방지 지침 발표",20,232,2303,4,True,True,political_sensitivity,86.21
관세와 가뭄으로 미국 소고기 가격 사상 최고 기록.rtf,관세와 가뭄으로 미국 소고기 가격 사상 최고 기록,45,450,5629,7,True,True,,100.0
"급증하는 전력 수요, 호황을 맞은 전력산업.rtf","급증하는 전력 수요, 호황을 맞은 전력산업",2,294,1425,0,True,True,,6.8
"늘어나는 재정 지출, 개선안은 있나.rtf","늘어나는 재정 지출, 개선안은 있나",11,177,1402,5,False,True,political_sensitivity,62.15
다시 떠오르는 한일 경제공동체 담론.rtf,다시 떠오르는 한일 경제공동체 담론,22,529,3621,4,True,True,medical_claim_risk,41.59
"대주주요건 10억으로 확대, '2025 세제 개편안'.rtf","대주주요건 10억으로 확대, '2025 세제 개편안'",20,165,2120,2,False,True,medical_claim_risk;political_sensitivity,121.21
모든 게시물 자동번역을 도입한 X.rtf,모든 게시물 자동번역을 도입한 X,7,199,1283,3,True,True,medical_claim_risk,35.18
무제 10.rtf,1. 이스라엘의 인도주의 도시 플랜이 트럼프를 제외한 서방 정치권에서도 제2의 아우슈비츠라며 엄청난 비판을 받는 가운데,9,84,1398,3,False,False,,107.14
무제 11.rtf,분명 근로시간이 대폭 줄고 있는데도 수면 부족은 여전한 한국인들,14,178,1843,0,True,True,,78.65
무제 13.rtf,1. 크게 증가한 외국인 노동력,28,281,3027,5,True,True,political_sensitivity,99.64
무제 14.rtf,<결국 돌고 돌아서 다시 전화기인가>,14,306,2473,4,True,True,,45.75
무제 15.rtf,삼성 파운드리 부활 신호탄 쐈다… 테슬라와 22조 초대형 계약,22,178,2222,0,False,True,,123.6
무제 16.rtf,<최후의 영포티 슈카가 말아주는 영포티 분석>,6,118,895,2,True,True,,50.85
무제 17.rtf,트럼프 전세계 관세,19,101,1980,0,True,True,,188.12
무제 2.rtf,<숏폼 비판하던 슈카...숏폼에 미치다>,16,226,1865,5,True,True,political_sensitivity,70.8
무제 24.rtf,1. 그록의 머스크 VS GPT의 알트먼,32,219,2736,3,False,True,,146.12
무제 27.rtf,<청년희망적금? 청년도약계좌? 청년미래적금?>,8,120,1289,4,False,True,corporate_promo_risk;medical_claim_risk,66.67
무제 28.rtf,1. 다시 수출계의 슈퍼 루키로 떠오른 선박 업계와 그렇지 못한 문제아 석유화학 업계의 근황,26,306,4126,6,True,True,political_sensitivity,84.97
무제 30.rtf,1. 트럼프 리스크까지 떠앉게 된 인텔 근황,23,223,3192,5,False,True,medical_claim_risk,103.14
무제 33.rtf,1. 거품 싹 빠진 노보 노디스크 주가 근황,17,711,4671,9,False,True,corporate_promo_risk;medical_claim_risk,23.91
무제 34.rtf,1. 슬슬 끝나가는 2025년 여름,20,447,3649,5,True,True,,44.74
무제 36.rtf,<미국에는 왜 육아휴직이 없는가...육아휴직 따위 없어도 출산율 높은 미국 근황>,18,241,2473,4,True,True,,74.69
무제 37.rtf,<캐나다 유럽설>,8,251,1735,3,True,True,political_sensitivity,31.87
무제 39.rtf,<코인은 어떻게 상속하는가>,6,54,581,1,False,True,crime_or_drug_sensitivity,111.11
무제 4.rtf,1) 가공식품 관련주의 위기,18,155,2163,3,False,True,corporate_promo_risk,116.13
무제 40.rtf,"LG전자, 전사 차원 희망퇴직 소식에 주가 강세",6,47,497,0,True,True,,127.66
무제 41.rtf,여전히 혼란스러운 프랑스 예산 논쟁 근황,7,32,828,0,False,True,,218.75
무제 43.rtf,"1. 경총 ""최저임금보다 실업급여가 더 높은데 일할 이유있겠나""",8,81,1049,4,True,True,,98.77
무제 5.rtf,<알카트라즈 감옥>,4,277,1618,3,True,True,,14.44
무제 7.rtf,1. 2025년 6월 한국인이 가장 많이 사용하는 AI 챗봇은 ChatGPT가 아닌 제타,0,136,512,3,True,True,,0.0
민원 우려로 축구도 금지된 요즘 학교.rtf,민원 우려로 축구도 금지된 요즘 학교,38,653,4959,5,True,True,,58.19
"백인 우월주의인가, 단순한 광고인가?.rtf","백인 우월주의인가, 단순한 광고인가?",29,273,3992,3,False,True,,106.23
세계에서 가장 AI에 진심인 나라.rtf,세계에서 가장 AI에 진심인 나라,18,194,1978,3,True,True,,92.78
세상에 공짜 점심은 없다..rtf,세상에 공짜 점심은 없다.,21,230,2964,4,False,True,,91.3
"소득은 높지만, 부자가 될 수는 없다..rtf","소득은 높지만, 부자가 될 수는 없다.",27,308,4017,4,True,True,political_sensitivity,87.66
스페이스X의 시가총액은 얼마가 적절할까?.rtf,스페이스X의 시가총액은 얼마가 적절할까?,14,397,2576,5,True,True,,35.26
약 4만명이 모인 삼성전자 총파업 결의대회.rtf,약 4만명이 모인 삼성전자 총파업 결의대회,11,99,928,4,False,True,,111.11
죽은 기업도 살리는 '반도체 붐'.rtf,죽은 기업도 살리는 '반도체 붐',2,164,786,1,False,True,,12.2
중국 돼지고기 가격 폭락의 비밀.rtf,중국 돼지고기 가격 폭락의 비밀,8,310,2019,4,True,True,,25.81
침팬지들은 왜 어제의 동료를 죽였을까.rtf,침팬지들은 왜 어제의 동료를 죽였을까,4,330,1551,1,False,True,political_sensitivity,12.12
"트럼프 ""관세 환급 신청하지 않으면 내 편"".rtf","트럼프 ""관세 환급 신청하지 않으면 내 편""",10,340,2480,3,False,True,political_sensitivity,29.41
티라노사우루스의 비밀.rtf,티라노사우루스의 비밀,9,535,2903,4,True,True,,16.82
